"group","names"
0,"CRYAB"
0,"SPP1"
0,"QDPR"
0,"FTH1"
0,"MOBP"
0,"CLDND1"
0,"CA2"
0,"ANLN"
0,"ERMN"
0,"UGT8"
1,"NRGN"
1,"SNCA"
1,"BEX1"
1,"CLU"
1,"SLC17A7"
1,"HSP90AA1"
1,"MTRNR2L8"
1,"NEGR1"
1,"MEF2C"
1,"CTSB"
2,"GJA1"
2,"CLU"
2,"AQP4"
2,"GLUL"
2,"SLC1A2"
2,"VIM"
2,"ALDOC"
2,"APOE"
2,"SOX9"
2,"KCNJ10"
3,"FLT1"
3,"VIM"
3,"EEF1A1"
3,"IFITM3"
3,"HSPA1B"
3,"PECAM1"
3,"NES"
3,"DCN"
3,"CD63"
3,"NOTCH1"
4,"MTRNR2L8"
4,"GAD2"
4,"KIT"
4,"MTRNR2L12"
4,"PVALB"
4,"GAD1"
4,"DNER"
4,"ALDOC"
4,"NTNG1"
4,"ANK1"
5,"LAMP5"
5,"CUX2"
5,"MTRNR2L12"
5,"NRGN"
5,"CLU"
5,"GLUL"
5,"BEX1"
5,"SLC1A2"
5,"MEF2C"
5,"CELF1"
6,"VCAN"
6,"BCAN"
6,"SEMA5A"
6,"PDGFRA"
6,"OLIG2"
6,"DNER"
6,"SOX10"
6,"SOX2"
6,"ALDOC"
6,"GPNMB"
7,"CD74"
7,"C3"
7,"SPP1"
7,"CSF1R"
7,"RNASET2"
7,"HLA-DRB1"
7,"CTSB"
7,"ITGAX"
7,"GPR34"
7,"TMIGD3"
