"group","names"
0,"TAC1"
0,"LHX6"
0,"GAD2"
0,"SLC6A1"
0,"GAD1"
0,"SPOCK3"
0,"MAF"
0,"SST"
0,"CRHBP"
0,"KCNAB1"
1,"KIT"
1,"GAD2"
1,"SLC6A1"
1,"DNER"
1,"LAMP5"
1,"MYO16"
1,"PTCHD4"
1,"EYA4"
1,"KCNAB1"
1,"MAF"
2,"GJA1"
2,"AQP4"
2,"WIF1"
2,"APOE"
2,"SOX9"
2,"PTPRZ1"
2,"FGFR3"
2,"TRIL"
2,"SPON1"
2,"SOX2"
3,"NRGN"
3,"NRN1"
3,"CABP1"
3,"CCK"
3,"SFRP2"
3,"LMO4"
3,"NegControlProbe_00012"
3,"BLANK_0140"
3,"BLANK_0045"
3,"BLANK_0472"
4,"ENC1"
4,"TESPA1"
4,"SV2B"
4,"NGEF"
4,"EPHA4"
4,"NPTX1"
4,"LAMP5"
4,"MEST"
4,"C1QL3"
4,"SLC17A7"
5,"MOG"
5,"CLDN11"
5,"CNDP1"
5,"OPALIN"
5,"UGT8"
5,"ERMN"
5,"APOD"
5,"CNTN2"
5,"MOBP"
5,"CAPN3"
6,"VIP"
6,"SYNPR"
6,"PROX1"
6,"CXCL14"
6,"NR2F2"
6,"SLC6A1"
6,"GAD1"
6,"VWC2L"
6,"DNER"
6,"RELN"
7,"FLT1"
7,"IFITM3"
7,"IGFBP7"
7,"ATP10A"
7,"PECAM1"
7,"DUSP1"
7,"DCN"
7,"CCN2"
7,"PTEN"
7,"KLF2"
8,"P2RY12"
8,"TMIGD3"
8,"GPR34"
8,"RNASET2"
8,"C3"
8,"CX3CR1"
8,"ITGAX"
8,"CD74"
8,"PTPRC"
8,"MAF"
9,"APOD"
9,"PTPRZ1"
9,"PDGFRA"
9,"VCAN"
9,"BCAN"
9,"GPNMB"
9,"OLIG2"
9,"SEMA5A"
9,"SOX10"
9,"DNER"
10,"HS3ST2"
10,"SNCA"
10,"RXFP1"
10,"SMYD2"
10,"IPCEF1"
10,"NRN1"
10,"TSHZ2"
10,"RORB"
10,"SV2B"
10,"HTR2A"
