"group","names"
0,"CRYAB"
0,"SPP1"
0,"CA2"
0,"QDPR"
0,"EDIL3"
0,"ERMN"
0,"ANLN"
0,"UGT8"
0,"CNDP1"
0,"FTH1"
1,"SPP1"
1,"CRYAB"
1,"MOBP"
1,"QDPR"
1,"FTH1"
1,"CLDND1"
1,"CA2"
1,"S100B"
1,"FTL"
1,"ERMN"
2,"FLT1"
2,"HSPA1B"
2,"RPS19"
2,"VIM"
2,"EEF1A1"
2,"IFITM3"
2,"NES"
2,"CD63"
2,"PECAM1"
2,"MTRNR2L8"
3,"CNDP1"
3,"ALDOC"
3,"SNCA"
3,"CA2"
3,"FTL"
3,"CRYAB"
3,"NRGN"
3,"CLU"
3,"MTRNR2L8"
3,"HSPA1B"
4,"CD74"
4,"SPP1"
4,"C3"
4,"CTSB"
4,"FTL"
4,"RNASET2"
4,"RPS19"
4,"CSF1R"
4,"SORL1"
4,"EEF1A1"
5,"NRGN"
5,"BEX1"
5,"SNCA"
5,"CLU"
5,"SLC17A7"
5,"HSP90AA1"
5,"NEGR1"
5,"CTSB"
5,"MEF2C"
5,"ALDOC"
6,"MTRNR2L12"
6,"MTRNR2L8"
6,"PTPRC"
6,"GPR183"
6,"NDST4"
6,"RGS16"
6,"CDK1"
6,"TACR1"
6,"CENPF"
6,"DCN"
7,"GJA1"
7,"AQP4"
7,"CLU"
7,"GLUL"
7,"ALDOC"
7,"SLC1A2"
7,"KCNJ10"
7,"VIM"
7,"SOX9"
7,"APOE"
