"method","gene","moran","pval"
"Seurat","ABCC9",0.00550610492008961,0.018404571147206
"Seurat","ACOT1",0.00248992921728158,0.171351979664724
"Seurat","ADAMTS12",0.00189585177977269,0.234225027790858
"Seurat","ADAMTS13",0.00697920208451951,0.00409279958621284
"Seurat","ADAMTS16",-0.000278608910461174,0.540536166388298
"Seurat","ADRA1A",0.00703149145263655,0.00386160359415013
"Seurat","ADRA1B",0.00838344233793211,0.000749915355960462
"Seurat","AIF1",0.00980980487782858,0.000102046473204727
"Seurat","AKAP12",0.0518502177807201,1.13442513877643e-85
"Seurat","ALDH1L1",0.0177800549042987,8.97765724486387e-12
"Seurat","ALDH5A1",0.022166887047285,2.71282125157834e-17
"Seurat","ALDOC",0.123103813730607,0
"Seurat","ALK",0.00175282422893685,0.251087615756175
"Seurat","ANGPT1",0.00343528584316022,0.0954664956435471
"Seurat","ANK1",0.0135525749890304,1.46665236838311e-07
"Seurat","ANKRD18A",0.0040957633410635,0.0599501271685866
"Seurat","ANLN",0.117105388805268,0
"Seurat","ANO3",0.00554481835107326,0.017712726591289
"Seurat","ANXA1",0.0201149744481449,1.43117138112086e-14
"Seurat","APOE",0.0242214512213186,2.78123206134981e-20
"Seurat","AQP4",0.0835186966831097,1.45891492110484e-218
"Seurat","ARHGAP24",0.000828229344259743,0.373802016658005
"Seurat","ATP2C2",0.00117792663889961,0.325025009870628
"Seurat","AXL",0.00570999561098474,0.0151997731538478
"Seurat","B4GALNT1",0.0178219262460674,8.06606986004116e-12
"Seurat","BCAN",0.022036620489085,4.0831740875978e-17
"Seurat","BEX1",0.120009605700931,0
"Seurat","BIN1",0.0218715307125516,7.01647198190561e-17
"Seurat","BRINP3",0.0115089115674115,6.67853442243557e-06
"Seurat","BTBD11",-0.000395422227291929,0.557631721369974
"Seurat","C1QB",-0.00025090668552383,0.535973984894994
"Seurat","C1orf162",0.00586249219945368,0.0131224767849396
"Seurat","C3",0.03294157958149,7.23774286154433e-36
"Seurat","CA2",0.1143793093073,0
"Seurat","CADM2",0.040551688754021,2.97003453330867e-53
"Seurat","CALCRL",0.00551192432856795,0.0182983357858103
"Seurat","CAPN3",0.0203212376079935,7.94571628044086e-15
"Seurat","CAV1",0.0237913845570108,1.20740034475229e-19
"Seurat","CCL4",0.00109819935103928,0.335898907996135
"Seurat","CCNA1",0.00829875762638864,0.000837032258300652
"Seurat","CD14",-0.000306848570232466,0.544366066564314
"Seurat","CD2",0.00453960022908252,0.0424354753008357
"Seurat","CD36",0.00480240131492303,0.0341752262756191
"Seurat","CD4",0.00542436249843782,0.0198243697340181
"Seurat","CD44",0.0276825788360624,6.64458909006166e-26
"Seurat","CD48",0.00532224493815039,0.0217093935494953
"Seurat","CD52",-0.000433582759174017,0.563256456908852
"Seurat","CD63",0.0368774032058964,2.13025260264534e-44
"Seurat","CD68",0.00221475931088904,0.198947689706202
"Seurat","CD74",0.069511336565266,3.6497916134135e-152
"Seurat","CD81",0.00468004494357103,0.0379098996757986
"Seurat","CD83",0.0173097303871394,2.97812454470611e-11
"Seurat","CD9",0.0268702980991018,1.61692151718459e-24
"Seurat","CDH1",0.00519873911412849,0.0242272766152957
"Seurat","CDH12",0.0196734430925915,5.12599238085072e-14
"Seurat","CDH4",0.00936267908755911,0.000195931476072988
"Seurat","CDH6",0.0512818250009756,7.22114004255286e-84
"Seurat","CDK1",0.0109768955810572,1.62377225921084e-05
"Seurat","CELF1",0.0207783911188277,2.04561509760718e-15
"Seurat","CEMIP",0.0154640347154462,2.47023343303169e-09
"Seurat","CEMIP2",0.0187941781778366,6.03905470150211e-13
"Seurat","CENPF",0.0084778117149094,0.000659291390820191
"Seurat","CHI3L1",0.013857071081652,7.90421599883208e-08
"Seurat","CHODL",0.00501685372818652,0.0284516681254262
"Seurat","CLDN11",0.0296290595740397,2.16445575949294e-29
"Seurat","CLDND1",0.167084547306758,0
"Seurat","CLU",0.300340888902216,0
"Seurat","CNDP1",0.0524712807235064,1.09969773082582e-87
"Seurat","CNTN2",0.0676375766292102,3.55225812979704e-144
"Seurat","CNTNAP2",0.0371695053257859,4.42626806603267e-45
"Seurat","CNTNAP3B",0.00561131862009232,0.0166999610497348
"Seurat","COL12A1",0.00894887528002995,0.000351029909090004
"Seurat","COL25A1",0.0175481658008133,1.63567050328701e-11
"Seurat","COL5A3",0.0233251841159333,6.02724028001335e-19
"Seurat","CORO1A",0.0102974085476371,4.86091795013652e-05
"Seurat","CRHBP",0.0130583841743348,3.88575144121738e-07
"Seurat","CRYAB",0.34172165966715,0
"Seurat","CRYM",0.0157609612822841,1.26765116065252e-09
"Seurat","CSF1",0.00286281063949494,0.13797376969
"Seurat","CSF1R",0.0166790132252668,1.4139924919871e-10
"Seurat","CSPG4",0.00621188775913687,0.00927366990891032
"Seurat","CTNNA3",0.0144869378648956,2.12811349387155e-08
"Seurat","CTSB",0.0554866848512461,8.82736679251777e-98
"Seurat","CTSH",0.0116460415827084,5.2386597023197e-06
"Seurat","CTSS",0.00624914322509225,0.00888928393378993
"Seurat","CUX2",0.0880882873622396,4.81398143154151e-243
"Seurat","CX3CR1",0.0195520236069744,7.2888341697163e-14
"Seurat","CXCL10",0.000161202203597001,0.47228462529844
"Seurat","CXCR4",0.00291025076524849,0.133969982328881
"Seurat","CYTIP",-0.00034217670004832,0.549648444202579
"Seurat","DCN",0.033358755523444,9.90073101636928e-37
"Seurat","DDR2",0.00628551956405308,0.00859648394311248
"Seurat","DHFR",0.00702502623009932,0.003900707220529
"Seurat","DLC1",0.0184473941278139,1.55880138900589e-12
"Seurat","DNER",0.012410431179161,1.34382160937015e-06
"Seurat","EDIL3",0.0927293081686865,7.8492262764303e-269
"Seurat","EEF1A1",0.148671897855762,0
"Seurat","EFHD1",0.0577088489314073,1.39408822810507e-105
