"method","cluster","median_log2FC","mean_neglog10FDR","specificity","n_top","n_sig_markers","Dataset"
"Baysor",0,0.467297583661483,213.997392526855,NA,20,24,"Dataset 3"
"Baysor",1,1.13510217256099,300,NA,20,53,"Dataset 3"
"Baysor",10,0.446708485995904,123.156734505022,NA,5,5,"Dataset 3"
"Baysor",2,3.34267334063554,300,NA,20,30,"Dataset 3"
"Baysor",3,1.92269516837413,300,NA,20,38,"Dataset 3"
"Baysor",4,3.40754585538612,290.357102867337,NA,20,26,"Dataset 3"
"Baysor",5,2.90032859521765,300,NA,20,46,"Dataset 3"
"Baysor",6,2.47027973230156,299.249268498047,NA,20,47,"Dataset 3"
"Baysor",7,4.40792833180547,300,NA,20,33,"Dataset 3"
"Baysor",8,0.374220096570325,58.3796344932613,NA,6,6,"Dataset 3"
"Baysor",9,2.92876110533314,284.846779019984,NA,20,36,"Dataset 3"
"Scanpy",0,-2.24385547637939,-27.757489406242,NA,20,-10,"Dataset 3"
"Scanpy",1,-1.37687563896179,-0.5526441434465,NA,20,11,"Dataset 3"
"Scanpy",10,-1.59703767299652,144.803233334299,NA,20,105,"Dataset 3"
"Scanpy",2,-4.39527000114322,239.946105290829,NA,20,-13,"Dataset 3"
"Scanpy",3,-2.07239365577698,110.57278333583,NA,20,33,"Dataset 3"
"Scanpy",4,0.3638743,172.348144150457,NA,20,44,"Dataset 3"
"Scanpy",5,1.08170665,470.601984469924,NA,20,104,"Dataset 3"
"Scanpy",6,1.33161855,511.070071575337,NA,20,46,"Dataset 3"
"Scanpy",7,1.4593245,404.691084250767,NA,20,38,"Dataset 3"
"Scanpy",8,0.5368308,350.380283876572,NA,20,49,"Dataset 3"
"Scanpy",9,0.0230900999999999,384.79457255926,NA,20,35,"Dataset 3"
"Segmap",0,3.09713195,562.342909414979,NA,20,77,"Dataset 3"
"Segmap",1,3.0295019,551.160101132124,NA,20,39,"Dataset 3"
"Segmap",10,2.0195379,804.485266036415,NA,20,66,"Dataset 3"
"Segmap",2,2.853368,214.665586260808,NA,20,48,"Dataset 3"
"Segmap",4,2.5750952,460.048045466762,NA,20,112,"Dataset 3"
"Segmap",5,4.7914047,336.066393583483,NA,20,41,"Dataset 3"
"Segmap",6,3.6245176,427.523800610295,NA,20,67,"Dataset 3"
"Segmap",7,4.0721388,286.867160357742,NA,20,48,"Dataset 3"
"Segmap",8,5.7006217,290.679204185184,NA,20,55,"Dataset 3"
"Segmap",9,3.86108805,304.300503290743,NA,20,35,"Dataset 3"
"Seurat",1,1.43912035051979,267.897942400642,NA,20,75,"Dataset 3"
"Seurat",10,2.80911888998888,233.10024937828,NA,20,38,"Dataset 3"
"Seurat",11,2.8549116654899,223.250597519071,NA,20,59,"Dataset 3"
"Seurat",2,3.3716155239545,300,NA,20,33,"Dataset 3"
"Seurat",3,2.13409057342981,285.769772231063,NA,20,46,"Dataset 3"
"Seurat",4,2.58338439312856,243.913360044701,NA,20,33,"Dataset 3"
"Seurat",5,3.05661373391714,286.533881555482,NA,20,69,"Dataset 3"
"Seurat",6,1.66880678151228,201.78248930304,NA,20,74,"Dataset 3"
"Seurat",7,4.41773830653527,296.192920098531,NA,20,47,"Dataset 3"
"Seurat",8,2.41717451830713,197.940840306556,NA,20,36,"Dataset 3"
"Seurat",9,2.65763372633428,232.041983031096,NA,20,60,"Dataset 3"
