"scheme","Method","Overall","Overall_rank","Dataset"
"as_specified","Segmap",0.729166666666667,1,"Dataset 4"
"as_specified","Scanpy",0.520833333333333,2,"Dataset 4"
"as_specified","Seurat",0.458333333333333,3,"Dataset 4"
"as_specified","Baysor",0.291666666666667,4,"Dataset 4"
"de_heavy","Segmap",0.620833333333333,1,"Dataset 4"
"de_heavy","Scanpy",0.595833333333333,2,"Dataset 4"
"de_heavy","Seurat",0.508333333333333,3,"Dataset 4"
"de_heavy","Baysor",0.275,4,"Dataset 4"
"equal","Segmap",0.729166666666667,1,"Dataset 4"
"equal","Scanpy",0.520833333333333,2,"Dataset 4"
"equal","Seurat",0.458333333333333,3,"Dataset 4"
"equal","Baysor",0.291666666666667,4,"Dataset 4"
"sp_heavy","Segmap",0.8375,1,"Dataset 4"
"sp_heavy","Scanpy",0.445833333333333,2,"Dataset 4"
"sp_heavy","Seurat",0.408333333333333,3,"Dataset 4"
"sp_heavy","Baysor",0.308333333333333,4,"Dataset 4"
