"method","cluster","median_log2FC","mean_neglog10FDR","specificity","n_top","n_sig_markers","Dataset"
"Baysor",0,0.765679095598554,217.11998765428,NA,4,4,"Dataset 1"
"Baysor",1,1.39341919347561,289.87426561513,NA,20,22,"Dataset 1"
"Baysor",2,1.04846503893116,300,NA,16,16,"Dataset 1"
"Baysor",3,1.63707540076996,214.308774366766,NA,15,15,"Dataset 1"
"Baysor",4,2.10880797586406,193.803102547152,NA,20,30,"Dataset 1"
"Baysor",5,1.95793922342262,176.863361705922,NA,14,14,"Dataset 1"
"Baysor",6,0.45849090201585,34.4743314372294,NA,2,2,"Dataset 1"
"Baysor",7,0.635060005475932,9.43466052693198,NA,1,1,"Dataset 1"
"Scanpy",0,-0.25332081317902,185.642044177347,NA,20,45,"Dataset 1"
"Scanpy",1,-1.75378340482712,123.154452030105,NA,20,35,"Dataset 1"
"Scanpy",2,-0.788293957710265,30.0892276014134,NA,20,28,"Dataset 1"
"Scanpy",3,-0.74385547637939,-17.757489406242,NA,5,-5,"Dataset 1"
"Scanpy",4,0.12312436103821,9.4473558565535,NA,20,16,"Dataset 1"
"Scanpy",5,-0.0970376729965201,154.803233334299,NA,20,110,"Dataset 1"
"Scanpy",6,-2.89527000114322,249.946105290829,NA,2,-8,"Dataset 1"
"Scanpy",7,-0.57239365577698,120.57278333583,NA,20,38,"Dataset 1"
"Segmap",0,1.8638743,182.348144150457,NA,20,49,"Dataset 1"
"Segmap",1,2.58170665,480.601984469924,NA,20,109,"Dataset 1"
"Segmap",2,2.83161855,521.070071575337,NA,20,51,"Dataset 1"
"Segmap",3,2.9593245,414.691084250767,NA,20,43,"Dataset 1"
"Segmap",4,2.0368308,360.380283876572,NA,20,54,"Dataset 1"
"Segmap",5,1.5230901,394.79457255926,NA,20,40,"Dataset 1"
"Segmap",6,2.68631575,389.342909414979,NA,20,34,"Dataset 1"
"Segmap",7,3.2562485,378.160101132124,NA,20,31,"Dataset 1"
"Seurat",1,1.52499234914985,631.485266036415,NA,20,35,"Dataset 1"
"Seurat",2,0.276752022456854,41.6655862608079,NA,12,12,"Dataset 1"
"Seurat",3,2.28653338878358,287.048045466762,NA,20,37,"Dataset 1"
"Seurat",4,1.08597424174257,163.066393583483,NA,14,14,"Dataset 1"
"Seurat",5,2.12722884069324,254.523800610295,NA,20,25,"Dataset 1"
"Seurat",6,0.556623284435456,113.867160357742,NA,11,11,"Dataset 1"
"Seurat",7,1.0027297843421,117.679204185184,NA,20,30,"Dataset 1"
"Seurat",8,1.46983678537922,131.300503290743,NA,20,20,"Dataset 1"
