"metric","Method","point","ci_low","ci_high","Dataset"
"median_moran","Baysor",0.0245300880201843,0.0218477309856884,0.0274822637229103,"Dataset 3"
"median_moran","Scanpy",0.0390161826420184,0.0339733920837548,0.0435618412009179,"Dataset 3"
"median_moran","Segmap",0.0389446147573298,0.0347190228056298,0.0437374792417939,"Dataset 3"
"median_moran","Seurat",0.0377128701177227,0.0324811277324159,0.0431858327955194,"Dataset 3"
"pct_sig_moran","Baysor",95.9288401253918,93.7225705329154,98.1191222570533,"Dataset 3"
"pct_sig_moran","Scanpy",93.6921383647801,90.8805031446541,96.2264150943396,"Dataset 3"
"pct_sig_moran","Segmap",94.3648902821317,91.8495297805643,96.8652037617555,"Dataset 3"
"pct_sig_moran","Seurat",94.4330033003299,91.7409240924092,96.6996699669967,"Dataset 3"
"sp_magnitude","Baysor",0.398433413313679,0.388686001128674,0.407257520066769,"Dataset 3"
"sp_magnitude","Scanpy",0.398178263044331,0.386126633574544,0.409104989493811,"Dataset 3"
"sp_magnitude","Segmap",0.400826329982925,0.389194067063044,0.411771564779374,"Dataset 3"
"sp_magnitude","Seurat",0.400359735271954,0.388042271786014,0.411281247639141,"Dataset 3"
