"scheme","Method","Overall","Overall_rank","Dataset"
"as_specified","Scanpy",0.625,1,"Dataset 3"
"as_specified","Seurat",0.479166666666667,2,"Dataset 3"
"as_specified","Segmap",0.66625,3,"Dataset 3"
"as_specified","Baysor",0.4375,4,"Dataset 3"
"de_heavy","Scanpy",0.675,1,"Dataset 3"
"de_heavy","Seurat",0.470833333333333,2,"Dataset 3"
"de_heavy","Segmap",0.76875,3,"Dataset 3"
"de_heavy","Baysor",0.4125,4,"Dataset 3"
"equal","Scanpy",0.625,1,"Dataset 3"
"equal","Seurat",0.479166666666667,2,"Dataset 3"
"equal","Segmap",0.60625,3,"Dataset 3"
"equal","Baysor",0.4375,4,"Dataset 3"
"sp_heavy","Scanpy",0.575,1,"Dataset 3"
"sp_heavy","Seurat",0.4875,2,"Dataset 3"
"sp_heavy","Segmap",0.54375,3,"Dataset 3"
"sp_heavy","Baysor",0.4625,4,"Dataset 3"
