"scheme","Method","Overall","Overall_rank","Dataset"
"as_specified","Scanpy",0.708333333333333,1,"Dataset 2"
"as_specified","Segmap",0.8375,2,"Dataset 2"
"as_specified","Seurat",0.541666666666667,3,"Dataset 2"
"as_specified","Baysor",0.208333333333333,4,"Dataset 2"
"de_heavy","Scanpy",0.725,1,"Dataset 2"
"de_heavy","Segmap",0.7925,2,"Dataset 2"
"de_heavy","Seurat",0.491666666666667,2,"Dataset 2"
"de_heavy","Baysor",0.291666666666667,4,"Dataset 2"
"equal","Scanpy",0.708333333333333,1,"Dataset 2"
"equal","Segmap",0.7375,2,"Dataset 2"
"equal","Seurat",0.541666666666667,3,"Dataset 2"
"equal","Baysor",0.208333333333333,4,"Dataset 2"
"sp_heavy","Scanpy",0.691666666666667,1,"Dataset 2"
"sp_heavy","Segmap",0.6925,2,"Dataset 2"
"sp_heavy","Seurat",0.591666666666667,3,"Dataset 2"
"sp_heavy","Baysor",0.125,4,"Dataset 2"
