"method","gene","moran","pval"
"Seurat","ABCC9",0.0888481416506489,2.04523991261389e-228
"Seurat","ADAM17",0.0154900284378677,9.07439061737911e-09
"Seurat","ADAMTS12",-0.000433019449076972,0.560839829560347
"Seurat","ADAMTS16",0.0208888263733716,1.57037838100178e-14
"Seurat","ADAMTS3",0.0152659937353892,1.38464445944255e-08
"Seurat","ADRA1A",0.0446977200443348,1.6317915932988e-59
"Seurat","ADRA1B",0.210551611112502,0
"Seurat","AIF1",0.159005219937564,0
"Seurat","ALK",0.034442291251262,3.35435422603761e-36
"Seurat","ALOX5AP",0.0922366097261561,6.01875843980509e-246
"Seurat","ANGPT1",0.0355913098817858,1.63654426783869e-38
"Seurat","ANK1",0.0577088496398154,8.89364329976692e-98
"Seurat","ANKRD18A",0.029586597644919,3.13911531688872e-27
"Seurat","ANO3",0.100287991229282,2.23799118096579e-290
"Seurat","ANXA1",0.216568696530242,0
"Seurat","APH1A",0.0358047467734663,6.21833277974861e-39
"Seurat","APOD",0.239276777759289,0
"Seurat","APOE",0.19498752754171,0
"Seurat","APP",0.0107272071915624,4.77220953796028e-05
"Seurat","AQP4",0.299378049018483,0
"Seurat","ARHGAP24",0.0127220136472202,1.87209969060273e-06
"Seurat","ATP10A",0.166693764125277,0
"Seurat","ATP2C2",0.0299989632771754,6.02390521181882e-28
"Seurat","B4GALNT1",0.211986239541952,0
"Seurat","BACE1",0.126186986292883,0
"Seurat","BCAN",0.154709192501357,0
"Seurat","BEX1",0.501938801604744,0
"Seurat","BRINP3",0.129113584573816,0
"Seurat","BTBD11",0.0266784535465403,1.57414906601277e-22
"Seurat","C1QL3",0.411698803065196,0
"Seurat","C1orf162",0.0894779189860781,1.28501589731332e-231
"Seurat","C3",0.13898086683059,0
"Seurat","CABP1",0.39553227216737,0
"Seurat","CALCRL",0.0765170240660923,4.82069213654431e-170
"Seurat","CAPG",0.0563217798303064,3.43741997519993e-93
"Seurat","CAPN3",0.265036350927397,0
"Seurat","CAV1",0.145773687027795,0
"Seurat","CCK",0.423117132023172,0
"Seurat","CCL4",0.302453633895436,0
"Seurat","CCL5",0.223851895588473,0
"Seurat","CCN2",0.308084433585095,0
"Seurat","CCNA1",0.0724689754003979,8.43629848820313e-153
"Seurat","CCNB2",0.00637748171159388,0.00832274742108935
"Seurat","CD14",0.0728054799972117,3.52258988822351e-154
"Seurat","CD163",0.218257515755567,0
"Seurat","CD2",0.145275522917243,0
"Seurat","CD36",0.0507517958547192,3.25023649771339e-76
"Seurat","CD3G",0.0213271013060031,2.33821059334163e-15
"Seurat","CD4",0.0939686116293241,3.51250669168129e-255
"Seurat","CD48",0.0415992326963666,9.78634715962143e-53
"Seurat","CD52",0.134973910712744,0
"Seurat","CD68",0.163840661955334,0
"Seurat","CD74",0.164717298496972,0
"Seurat","CD83",0.0721634637535403,1.63929078643132e-151
"Seurat","CD86",0.0570600243017691,1.36577892068414e-95
"Seurat","CD8A",0.0913198844946384,1.91741638229731e-241
"Seurat","CDH1",0.0208573629576123,1.75832809348891e-14
"Seurat","CDH12",0.12688630946795,0
"Seurat","CDH4",0.0296012197651997,2.97252095481584e-27
"Seurat","CDH6",0.122166905384616,0
"Seurat","CDK1",0.0274138481228743,1.08607396185572e-23
"Seurat","CEMIP",0.217460263905018,0
"Seurat","CEMIP2",0.134571473888184,0
"Seurat","CENPF",0.0917189581797711,2.06609100670222e-243
"Seurat","CH25H",0.0558718276604111,7.93164130215072e-92
"Seurat","CHI3L1",0.266991438728766,0
"Seurat","CHODL",0.0316073209650383,8.00248616083371e-31
"Seurat","CLDN11",0.374197590172007,0
"Seurat","CNDP1",0.228657558696345,0
"Seurat","CNTN2",0.326336119964198,0
"Seurat","CNTNAP3",0.0517290300406329,5.76853339996703e-79
"Seurat","CNTNAP3B",0.0811838244270142,4.21560515211763e-191
"Seurat","COL12A1",0.0645277423755967,1.1683758929277e-121
"Seurat","COL1A2",0.190563839166039,0
"Seurat","COL25A1",0.0205862945266446,3.74829698145077e-14
"Seurat","CORO1A",0.0324344720775622,2.57185014372645e-32
"Seurat","CRHBP",0.0715856448951805,3.53803208186474e-149
"Seurat","CRYM",0.266245745817687,0
"Seurat","CSPG4",0.0592473677529742,6.42962908522887e-103
"Seurat","CTNNA3",0.18535704879745,0
"Seurat","CTSH",0.0703292150076483,5.17173813245163e-144
"Seurat","CTSS",0.103218557601616,2.22934311572199e-307
"Seurat","CUX2",0.304127231485533,0
"Seurat","CX3CR1",0.0875659938633788,6.38370068827095e-222
"Seurat","CXCL14",0.328149309196708,0
"Seurat","CXCR4",0.193365197567706,0
"Seurat","CYTIP",0.0566283908589461,3.20337278281835e-94
"Seurat","DCN",0.337799264421139,0
"Seurat","DDR2",0.0462947829040236,1.09779138688197e-63
"Seurat","DNER",0.0856590325948433,1.88942403782247e-212
"Seurat","DUSP1",0.31148852449806,0
"Seurat","EFHD1",0.239575661925128,0
"Seurat","EGFR",0.131829467636683,0
"Seurat","ELOVL2",0.0228882047053156,4.60010106074136e-17
"Seurat","ENC1",0.729307922506921,0
"Seurat","EPHA4",0.317783998528604,0
"Seurat","ERBB3",0.171132322974125,0
"Seurat","ERMN",0.492620369987466,0
"Seurat","EYA4",0.0168789306213906,4.25651329328188e-10
"Seurat","FBLN1",0.290920483092528,0
"Seurat","FCER1G",0.114388382766094,0
"Seurat","FCGBP",0.133790393885971,0
"Seurat","FCGR1A",0.0168138761951862,4.96560727347839e-10
"Seurat","FCGR3A",0.110432665293849,0
"Seurat","FGFR2",0.194569649427296,0
"Seurat","FGFR3",0.11554404398178,0
"Seurat","FILIP1",0.0390480856256554,6.0057764111416e-46
"Seurat","FLT1",0.239934519784669,0
"Seurat","FSTL4",0.226392834065197,0
"Seurat","GAD1",0.131037327061798,0
"Seurat","GAD2",0.24056714313772,0
"Seurat","GJA1",0.247781116816583,0
"Seurat","GNLY",0.0234941501747515,4.21489071366445e-19
"Seurat","GPNMB",0.214469096547314,0
"Seurat","GPR183",0.103812033665689,4.90612308662738e-311
"Seurat","GPR34",0.1181771004645,0
"Seurat","GULP1",0.0805322904027764,4.24514199803444e-188
"Seurat","GZMA",0.0378235078991953,1.23445507253776e-43
"Seurat","HES1",0.1157781906191,0
"Seurat","HHATL",0.14439479139,0
"Seurat","HILPDA",0.0389250613534661,1.20225748113898e-45
"Seurat","HLA-DMB",0.101115706803405,4.51033947925627e-295
"Seurat","HLA-DQA1",0.102145797498215,4.44035066581306e-301
"Seurat","HMOX1",0.0123739525125579,3.37057075348132e-06
"Seurat","HPCA",0.587445893607342,0
"Seurat","HS3ST2",0.516850556496248,0
"Seurat","HS3ST4",0.149595459990953,0
"Seurat","HTR2A",0.338277451222708,0
"Seurat","HTR2C",0.157671964455375,0
"Seurat","IDH1",0.0370636047063221,1.42788987509735e-41
"Seurat","IDH2",0.102617996519714,8.26757832091442e-304
"Seurat","IDO1",0.0479679361061907,2.97243471458125e-79
"Seurat","IFITM3",0.196082385641958,0
"Seurat","IGFBP3",0.203287397676377,0
"Seurat","IGFBP4",0.242228472432855,0
"Seurat","IGFBP5",0.382548137506481,0
"Seurat","IGFBP7",0.253413656220848,0
"Seurat","IL7R",0.269357249494259,0
"Seurat","IPCEF1",0.24191780393963,0
"Seurat","ITGA8",0.0788429261691599,1.6983485950033e-180
"Seurat","ITGAM",0.0300232031155848,5.59711899890714e-28
"Seurat","ITGAX",0.0427016068107497,1.66862148584135e-54
"Seurat","ITGB2",0.093545343449127,6.55261813650968e-253
"Seurat","KCNAB1",0.288469865714281,0
"Seurat","KCNH5",0.116157546445562,0
"Seurat","KIT",0.0879896783641231,3.46541543965918e-224
"Seurat","KLF2",0.243455833736275,0
"Seurat","KLF4",0.164163674765467,0
"Seurat","KLK6",0.0881779131296806,5.15165661646375e-225
"Seurat","KLRB1",0.0809929610161003,7.92256164203382e-193
"Seurat","LAMA2",0.107017757252866,0
"Seurat","LAMP5",0.255044411455208,0
"Seurat","LHX6",0.139877502478618,0
"Seurat","LINGO1",0.3175189311997,0
"Seurat","LMO4",0.303810961274171,0
"Seurat","LOX",0.0342038740233065,9.36919472913594e-36
"Seurat","LRRK1",0.0112929254723071,2.00739985821454e-05
"Seurat","LRRK2",0.0200554761627708,1.60196378333427e-13
"Seurat","LY86",0.0305045740321942,8.0867350289021e-29
"Seurat","LYPD6",0.125449494207351,0
"Seurat","LYPD6B",0.0351779854777749,1.06184116976336e-37
"Seurat","LYVE1",0.176065171145867,0
"Seurat","MAF",0.117346230906347,0
"Seurat","MAG",0.298747569235319,0
"Seurat","MAL",0.207079322414936,0
"Seurat","MCTP2",0.0414755131004712,1.40290425634245e-51
"Seurat","MEIS2",0.0234388897416644,8.46523709022982e-18
"Seurat","MEPE",0.212115652968212,0
"Seurat","MEST",0.465640199945623,0
"Seurat","MGST1",0.159839469030152,0
"Seurat","MKI67",0.0426525881480188,2.16922729959802e-59
"Seurat","MMD",0.2229099938906,0
"Seurat","MOBP",0.637988415954769,0
"Seurat","MOG",0.439154579575549,0
"Seurat","MS4A6A",0.138467855262304,0
"Seurat","MYO16",0.0743753459137488,7.97360095425547e-161
"Seurat","MYO5B",0.0229605557492513,3.50106727690538e-17
"Seurat","MYRF",0.15961948015886,0
"Seurat","NCSTN",0.00382735089382274,0.0811159977529025
"Seurat","NDST4",0.0121431719605701,4.42113860956302e-06
"Seurat","NES",0.138790664503465,0
"Seurat","NGEF",0.417951898714647,0
"Seurat","NKG7",0.0454215958876335,1.60133670796293e-61
"Seurat","NNAT",0.275265257048174,0
"Seurat","NOTCH1",0.057505375006161,4.84198299159055e-97
"Seurat","NPFFR2",0.0933614719669285,2.70326809550684e-252
"Seurat","NPNT",0.107516429143888,0
"Seurat","NPTX1",0.603675234934851,0
"Seurat","NPTXR",0.565633818525321,0
"Seurat","NPY1R",0.163842864056021,0
"Seurat","NR2F2",0.121061215993016,0
"Seurat","NR4A2",0.123850451620203,0
"Seurat","NRGN",0.652787915958778,0
"Seurat","NRN1",0.547124929939663,0
"Seurat","NRP1",0.0998636065614287,6.93620684019606e-288
"Seurat","NTNG1",0.0955491843139596,8.6141616218683e-264
"Seurat","NTNG2",0.118520789363351,0
"Seurat","NWD2",0.0986341239550712,5.26142216334234e-281
