"method","gene","moran","pval"
"Seurat","ABCC9",0.0328758224227715,1.60352312042637e-20
"Seurat","ADAM17",0.0253952688064295,5.51311370566218e-13
"Seurat","ADAMTS16",0.00312028928984434,0.187861788619772
"Seurat","ADAMTS3",0.00816061472477673,0.0108231737176374
"Seurat","ADRA1A",0.0376792674412116,2.40896715628142e-26
"Seurat","ADRA1B",0.0328276582277719,1.8276506585761e-20
"Seurat","AIF1",0.0405270325851123,3.57114674418949e-30
"Seurat","ALK",0.0146360990570745,1.99055102485136e-05
"Seurat","ALOX5AP",0.0364481906642179,8.66662344347417e-25
"Seurat","ANGPT1",0.0253614539084887,5.65924380974771e-13
"Seurat","ANK1",0.0232472782697769,3.58206295411937e-11
"Seurat","ANKRD18A",0.0134596089880893,7.89276173256298e-05
"Seurat","ANO3",0.0225929568924496,1.19839786170805e-10
"Seurat","ANXA1",0.0802752507399031,3.12417102456257e-112
"Seurat","APH1A",0.00379989941564601,0.141216576717812
"Seurat","APOD",0.138008449809281,0
"Seurat","APOE",0.0803905629900914,1.90171705250782e-112
"Seurat","APP",0.0068970951303947,0.0260458623625232
"Seurat","AQP4",0.170288750132994,0
"Seurat","ARHGAP24",0.00494929795257764,0.0811968753581113
"Seurat","ATP10A",0.0388347234662235,7.24339401652278e-28
"Seurat","ATP2C2",0.0328144242931195,1.82732815205285e-20
"Seurat","B4GALNT1",0.0577763335003475,3.68164855034472e-59
"Seurat","BACE1",0.0181604560766495,1.76442926741817e-07
"Seurat","BCAN",0.0486314669394062,1.5490874164331e-42
"Seurat","BEX1",0.100184278247193,2.47561997477142e-173
"Seurat","BRINP3",0.0181213914356309,1.86727778194131e-07
"Seurat","BTBD11",0.0144533335272325,2.47813466632735e-05
"Seurat","C1QL3",0.151113275998055,0
"Seurat","C1orf162",0.00321931539110824,0.180680733080974
"Seurat","C3",0.0460560710100817,2.19929860824024e-38
"Seurat","CABP1",0.122630217494376,1.83884285247293e-258
"Seurat","CALCRL",0.0191857246301056,3.70268987636982e-08
"Seurat","CAPG",0.0151599468133864,1.04236093746717e-05
"Seurat","CAPN3",0.0767987022164364,7.71124726976813e-103
"Seurat","CAV1",0.11209100360137,1.43955039909173e-216
"Seurat","CCK",0.175346419874936,0
"Seurat","CCL4",0.0052942801143573,0.0672799771923888
"Seurat","CCN2",0.109314217553397,5.21420097999726e-206
"Seurat","CCNA1",0.0264555239263728,6.11025852079785e-14
"Seurat","CCNB2",-0.000761555457919676,0.580037565445608
"Seurat","CD14",0.0261527036125267,1.09547056580558e-13
"Seurat","CD163",0.0286443385480904,4.88845032472038e-16
"Seurat","CD36",0.0164836458687842,1.81518070357069e-06
"Seurat","CD4",0.0263250182848393,7.88799559390704e-14
"Seurat","CD52",0.045573108092147,1.04378433957652e-37
"Seurat","CD68",0.0377338158386038,1.99108196968598e-26
"Seurat","CD74",0.0549765578884498,8.62657828331093e-54
"Seurat","CD83",0.0310573630354693,1.63421495721588e-18
"Seurat","CD86",0.0131868828658973,0.000106065825790082
"Seurat","CD8A",0.0124724087341753,0.000230317999964532
"Seurat","CDH1",0.0137138810499751,5.86065225439954e-05
"Seurat","CDH12",0.0785707576695083,1.5758312139495e-107
"Seurat","CDH4",0.0138882150767675,4.84979124704922e-05
"Seurat","CDH6",0.0322364437101299,8.39346398844861e-20
"Seurat","CDK1",0.00546740680014172,0.0612652057348659
"Seurat","CEMIP",0.0223248120223068,1.93288372581356e-10
"Seurat","CEMIP2",0.081246762088201,8.10095195637722e-115
"Seurat","CENPF",0.0799564129947265,2.00106801053184e-111
"Seurat","CH25H",0.0112267964033095,0.00079343088799966
"Seurat","CHI3L1",0.0340743542288425,6.43894931637683e-22
"Seurat","CHODL",0.0149024966659772,1.37601014487151e-05
"Seurat","CLDN11",0.168165210404907,0
"Seurat","CNDP1",0.1748764375553,0
"Seurat","CNTN2",0.0646864009328534,1.32176952307519e-73
"Seurat","CNTNAP3",0.0215815289860953,7.20597782495664e-10
"Seurat","CNTNAP3B",0.021515895041627,8.09428491609306e-10
"Seurat","COL12A1",0.0277205847848102,3.94018506806452e-15
"Seurat","COL1A2",0.0141822925814673,3.36990249311956e-05
"Seurat","COL25A1",0.0226917292725649,9.87822691808663e-11
"Seurat","CORO1A",0.0196429408109959,1.81232706883787e-08
"Seurat","CRHBP",0.0550142287608794,7.1517726792358e-54
"Seurat","CRYM",0.06233045853014,1.66459466321335e-68
"Seurat","CSPG4",0.0306720456796195,4.07794120895976e-18
"Seurat","CTNNA3",0.0258006395946057,2.35940683849326e-13
"Seurat","CTSH",0.0461232263704425,1.79514961366737e-38
"Seurat","CTSS",0.0201781547296301,7.59579912938034e-09
"Seurat","CUX2",0.148273669085516,0
"Seurat","CX3CR1",0.0341878365330103,4.80374733349269e-22
"Seurat","CXCL14",0.157083144890658,0
"Seurat","CXCR4",0.015501292303875,6.7664946507016e-06
"Seurat","CYTIP",0.00827542610526258,0.00987755848931345
"Seurat","DCN",0.0733717316662555,4.32593154235267e-94
"Seurat","DDR2",0.0144946750705539,2.36993268264301e-05
"Seurat","DNER",0.0581661765645236,6.2223947438618e-60
"Seurat","DUSP1",0.0625501061078595,5.64506584310969e-69
"Seurat","EFHD1",0.0714433014792451,2.72628882845553e-89
"Seurat","EGFR",0.0457238896953359,7.705782365428e-38
"Seurat","ELOVL2",0.00574274634773344,0.0527184575813216
"Seurat","ENC1",0.296548965234915,0
"Seurat","EPHA4",0.100870890595572,1.13016017803686e-175
"Seurat","ERBB3",0.0416415412437258,9.69126754092322e-32
"Seurat","ERMN",0.163902138510084,0
"Seurat","EYA4",0.0168460533571281,1.12960127516565e-06
"Seurat","FBLN1",0.0322295334442427,8.50914231197185e-20
"Seurat","FCER1G",0.0308406488017796,2.73114089597738e-18
"Seurat","FCGBP",0.0210601002210665,1.69115790821826e-09
"Seurat","FCGR1A",-0.00273349625337444,0.774871382477524
"Seurat","FCGR3A",0.0254661426241036,4.59880230599351e-13
"Seurat","FGFR2",0.0419534243670121,3.54537975739348e-32
"Seurat","FGFR3",0.0460546729652417,2.31555348389523e-38
"Seurat","FILIP1",0.0340543657881311,6.76433141217268e-22
"Seurat","FLT1",0.084205560218449,3.64638207487308e-123
"Seurat","FSTL4",0.037065740582208,1.48064479382741e-25
"Seurat","GAD1",0.060601677207814,6.95218548675545e-65
"Seurat","GAD2",0.104808650110685,1.71813898129856e-189
