"metric","Method","point","ci_low","ci_high","Dataset"
"median_moran","Baysor",0.0110810901045849,0.00963854934434161,0.0125112558579958,"Dataset 1"
"median_moran","Scanpy",0.0101224866617596,0.00916523432002237,0.0116601218477389,"Dataset 1"
"median_moran","Segmap",0.0130197643377691,0.0114133976860485,0.0145332003363745,"Dataset 1"
"median_moran","Seurat",0.0123118293077755,0.0105370229045432,0.0152703826525941,"Dataset 1"
"pct_sig_moran","Baysor",80.5672316384181,75.9816384180791,84.4632768361582,"Dataset 1"
"pct_sig_moran","Scanpy",75.2361581920904,70.0564971751412,81.0734463276836,"Dataset 1"
"pct_sig_moran","Segmap",81.524011299435,77.4011299435028,85.5932203389831,"Dataset 1"
"pct_sig_moran","Seurat",80.0795527156545,74.4408945686901,84.6645367412141,"Dataset 1"
"sp_magnitude","Baysor",0.328917580616423,0.310248159322099,0.344645316217433,"Dataset 1"
"sp_magnitude","Scanpy",0.307018124765417,0.286156915914351,0.330388888271778,"Dataset 1"
"sp_magnitude","Segmap",0.333907903800402,0.316705195383748,0.3501363742552,"Dataset 1"
"sp_magnitude","Seurat",0.327705308447285,0.304707076989593,0.346955630967495,"Dataset 1"
