"metric","Method","point","ci_low","ci_high","Dataset"
"median_moran","Baysor",0.0669471201339124,0.0602086916482133,0.0725133941917594,"Dataset 2"
"median_moran","Scanpy",0.11407687449352,0.103320652127231,0.125756784313428,"Dataset 2"
"median_moran","Segmap",0.11097307626883,0.101723312895854,0.119937914284444,"Dataset 2"
"median_moran","Seurat",0.112740978309527,0.0986341239550712,0.127999947020883,"Dataset 2"
"pct_sig_moran","Baysor",98.7068965517245,97.4921630094044,99.6865203761756,"Dataset 2"
"pct_sig_moran","Scanpy",99.0680250783704,97.8056426332288,100,"Dataset 2"
"pct_sig_moran","Segmap",99.045141065831,97.8056426332288,100,"Dataset 2"
"pct_sig_moran","Seurat",99.0560126582286,97.7848101265823,100,"Dataset 2"
"sp_magnitude","Baysor",0.434995858287244,0.427681192536792,0.440626569893263,"Dataset 2"
"sp_magnitude","Scanpy",0.464718225009592,0.456646429046266,0.472947459705457,"Dataset 2"
"sp_magnitude","Segmap",0.462764410024621,0.454672559217731,0.46937839294622,"Dataset 2"
"sp_magnitude","Seurat",0.463868637618628,0.453651816556393,0.474456858838546,"Dataset 2"
