"method","gene","moran","pval"
"Seurat","GPR183",0.245709182692364,0
"Seurat","GPR34",0.0727530382806332,0
"Seurat","GPX2",0.0917238579278952,0
"Seurat","GZMA",0.10796938705551,0
"Seurat","GZMB",0.072889783508353,0
"Seurat","GZMK",0.176959063781664,0
"Seurat","HAVCR2",0.138882847473027,0
"Seurat","HIF1A",0.101651220178407,0
"Seurat","HIGD1B",0.0291520132909905,2.55931103143633e-148
"Seurat","HMGCS1",0.071546116870295,0
"Seurat","HP",0.0845625660829356,0
"Seurat","HPGDS",0.0803475636162597,0
"Seurat","ICA1",0.257059822536401,0
"Seurat","IGF1",0.129116498423579,0
"Seurat","IGFBP3",0.269573552873562,0
"Seurat","IL1RL1",0.149162503725311,0
"Seurat","IL7R",0.346416197658928,0
"Seurat","IQGAP2",0.0287073624554567,7.41824687078722e-144
"Seurat","IRF8",0.204721554137511,0
"Seurat","ITGAM",0.114202821452708,0
"Seurat","ITGB4",0.130496301633157,0
"Seurat","KCNK3",0.0968529476155725,0
"Seurat","KDR",0.120275424658205,0
"Seurat","KIT",0.127337159976832,0
"Seurat","KLF5",0.232535335026235,0
"Seurat","KLK11",0.221572369470428,0
"Seurat","KLRB1",0.180611039334813,0
"Seurat","KLRC1",-0.000586437663722966,0.698231433748543
"Seurat","KLRD1",0.0450442552673027,0
"Seurat","KRT15",0.27509031348016,0
"Seurat","KRT7",0.32779084329211,0
"Seurat","LAG3",0.0342974762742783,2.40851655515353e-204
"Seurat","LAMC3",0.0519992813329481,0
"Seurat","LCK",0.119138364004543,0
"Seurat","LGALS3BP",0.473161166292945,0
"Seurat","LGR5",0.0621134116220761,0
"Seurat","LGR6",0.174619905022403,0
"Seurat","LILRA4",0.0710087081719894,0
"Seurat","LILRA5",0.0317788677402915,7.87629031564763e-176
"Seurat","LILRB2",0.0551744755929771,0
"Seurat","LILRB4",0.167165302752185,0
"Seurat","LMOD1",0.264319120041852,0
"Seurat","LTBP2",0.245789688482111,0
"Seurat","LTF",0.468616868166755,0
"Seurat","LYVE1",0.177515566335995,0
"Seurat","MALL",0.316041845491312,0
"Seurat","MAP7",0.136307437410452,0
"Seurat","MARCO",0.346686312270371,0
"Seurat","MCEMP1",0.231716810002611,0
"Seurat","MEDAG",0.089234097554211,0
"Seurat","MET",0.202998264165685,0
"Seurat","MFAP5",0.0605867488256515,0
"Seurat","MIS18BP1",0.0448622044122134,0
"Seurat","MKI67",0.135257617775764,0
"Seurat","MMP12",0.309558200031678,0
"Seurat","MMP9",0.302386614424426,0
