"method","cluster","median_log2FC","mean_neglog10FDR","specificity","n_top","n_sig_markers","Dataset"
"Baysor",0,2.61432483392513,300,NA,20,56,"Dataset 4"
"Baysor",1,3.73853697364148,300,NA,20,34,"Dataset 4"
"Baysor",10,0.997945331647757,195.177710097765,NA,20,22,"Dataset 4"
"Baysor",11,3.75082094414743,273.307012566807,NA,14,14,"Dataset 4"
"Baysor",12,2.49925472780207,275.7970554771,NA,20,22,"Dataset 4"
"Baysor",2,4.48623807780351,300,NA,20,26,"Dataset 4"
"Baysor",3,2.61271371880936,290.136703027923,NA,20,23,"Dataset 4"
"Baysor",4,3.51207882504961,300,NA,20,25,"Dataset 4"
"Baysor",5,2.28958401814734,300,NA,20,23,"Dataset 4"
"Baysor",6,2.8790911040443,300,NA,20,42,"Dataset 4"
"Baysor",7,2.75729867796579,272.889672463074,NA,18,18,"Dataset 4"
"Baysor",8,3.8228090722982,300,NA,20,27,"Dataset 4"
"Baysor",9,3.67313691801959,300,NA,20,48,"Dataset 4"
"Scanpy",0,-1.59703767299652,144.803233334299,NA,20,105,"Dataset 4"
"Scanpy",10,-4.39527000114322,239.946105290829,NA,20,-13,"Dataset 4"
"Scanpy",11,-2.07239365577698,110.57278333583,NA,20,33,"Dataset 4"
"Scanpy",12,0.3638743,172.348144150457,NA,20,44,"Dataset 4"
"Scanpy",2,1.08170665,470.601984469924,NA,20,104,"Dataset 4"
"Scanpy",3,1.33161855,511.070071575337,NA,20,46,"Dataset 4"
"Scanpy",4,1.4593245,404.691084250767,NA,20,38,"Dataset 4"
"Scanpy",5,0.5368308,350.380283876572,NA,20,49,"Dataset 4"
"Scanpy",6,0.0230900999999999,384.79457255926,NA,20,35,"Dataset 4"
"Scanpy",7,1.18631575,379.342909414979,NA,20,29,"Dataset 4"
"Scanpy",8,1.7562485,368.160101132124,NA,20,26,"Dataset 4"
"Scanpy",9,0.02499234914985,621.485266036415,NA,20,30,"Dataset 4"
"Segmap",0,4.92101405,226.665586260808,NA,20,59,"Dataset 4"
"Segmap",1,3.49312435,472.048045466762,NA,20,72,"Dataset 4"
"Segmap",10,4.67978285,348.066393583483,NA,20,103,"Dataset 4"
"Segmap",11,5.4600258,439.523800610295,NA,20,89,"Dataset 4"
"Segmap",12,5.15700505,298.867160357742,NA,20,103,"Dataset 4"
"Segmap",2,2.9088621,302.679204185184,NA,20,56,"Dataset 4"
"Segmap",3,4.32456975,316.300503290743,NA,20,64,"Dataset 4"
"Segmap",4,2.07921365,NA,NA,20,36,"Dataset 4"
"Segmap",5,4.70651235,NA,NA,20,82,"Dataset 4"
"Segmap",6,3.7197175,NA,NA,20,61,"Dataset 4"
"Segmap",7,4.5538958,NA,NA,20,72,"Dataset 4"
"Segmap",8,4.17322325,NA,NA,20,55,"Dataset 4"
"Segmap",9,3.2616276,NA,NA,20,33,"Dataset 4"
"Seurat",1,4.33091206300844,300,NA,20,44,"Dataset 4"
"Seurat",10,3.08258503463118,298.116011840055,NA,20,28,"Dataset 4"
"Seurat",11,2.70111381680925,300,NA,20,41,"Dataset 4"
"Seurat",12,1.84251891214757,180.18010916363,NA,20,20,"Dataset 4"
"Seurat",13,2.83003981603943,291.935119075068,NA,20,33,"Dataset 4"
"Seurat",2,2.80448659617275,300,NA,20,49,"Dataset 4"
"Seurat",3,3.98463896396557,300,NA,20,51,"Dataset 4"
"Seurat",4,3.89147086048487,300,NA,20,58,"Dataset 4"
"Seurat",5,2.70887518766718,300,NA,20,47,"Dataset 4"
"Seurat",6,2.84042756550618,299.845846701337,NA,20,30,"Dataset 4"
"Seurat",7,4.9452684454724,300,NA,20,58,"Dataset 4"
"Seurat",8,3.20069707940101,300,NA,20,36,"Dataset 4"
"Seurat",9,3.10707824228768,300,NA,20,37,"Dataset 4"
