"cluster","gene"
"1","MAG"
"1","ST18"
"1","UGT8"
"1","CLDN11"
"1","CNDP1"
"1","CAPN3"
"1","CNTN2"
"1","PCSK6"
"1","MOG"
"1","OPALIN"
"2","FLT1"
"2","KLF2"
"2","ATP10A"
"2","CCN2"
"2","PECAM1"
"2","DCN"
"2","CAV1"
"2","THSD4"
"2","IFITM3"
"2","CEMIP2"
"3","HLA-DMB"
"3","PTPRC"
"3","FCGR3A"
"3","ITGB2"
"3","VSIG4"
"3","TREM2"
"3","CX3CR1"
"3","GPR34"
"3","MS4A6A"
"3","CD4"
"4","EPHA4"
"4","CABP1"
"4","C1QL3"
"4","HS3ST2"
"4","NGEF"
"4","HTR2A"
"4","LINGO1"
"4","HPCA"
"4","IPCEF1"
"4","NPTX1"
"5","NPTX1"
"5","CNDP1"
"5","SLC17A7"
"5","RGS4"
"5","NRGN"
"5","HPCA"
"5","SV2B"
"5","NPTXR"
"5","HS3ST2"
"5","OPALIN"
"6","SPON1"
"6","FGFR3"
"6","RYR3"
"6","TRIL"
"6","EGFR"
"6","TGFB2"
"6","SOX9"
"6","MGST1"
"6","BCAN"
"6","SERPINA3"
"7","VCAN"
"7","PDGFRA"
"7","BCAN"
"7","SEMA5A"
"7","OLIG2"
"7","CSPG4"
"7","BRINP3"
"7","TMEM132C"
"7","SOX4"
"7","EGFR"
"8","GAD2"
"8","GAD1"
"8","LHX6"
"8","SYNPR"
"8","LYPD6"
"8","B4GALNT1"
"8","MEST"
"8","KCNAB1"
"8","RGS4"
"8","NPTXR"
"9","RASGRP1"
"9","HS3ST2"
"9","NGEF"
"9","SYNPR"
"9","HS3ST4"
"9","NNAT"
"9","ADRA1B"
"9","NPTX1"
"9","SV2B"
"9","RXFP1"
"10","CD2"
"10","TRAC"
"10","CCL5"
"10","CXCR4"
"10","IL7R"
"10","CYTIP"
"10","CCL4"
"10","CD52"
"10","CD8A"
"10","THEMIS"
"11","HTR2C"
"11","VWC2L"
"11","CRYM"
"11","CDH6"
"11","ATP2C2"
"11","TSHZ2"
"11","HS3ST4"
"11","NXPH2"
"11","RASGRP1"
"11","TRHDE"
