"cluster","gene"
"1","EPHA4"
"1","CUX2"
"1","B4GALNT1"
"1","C1QL3"
"1","LINGO1"
"1","LAMP5"
"1","RGS6"
"1","IPCEF1"
"1","CDH12"
"1","WIPF3"
"2","CNDP1"
"2","MOG"
"2","CLDN11"
"2","UGT8"
"2","OPALIN"
"2","ERMN"
"2","MAG"
"2","CAPN3"
"2","CNTN2"
"2","MOBP"
"3","SPON1"
"3","SOX9"
"3","FGFR3"
"3","RYR3"
"3","WIF1"
"3","SOX2"
"3","EGFR"
"3","HHATL"
"3","APOE"
"3","TRIL"
"4","FLT1"
"4","ATP10A"
"4","PECAM1"
"4","IFITM3"
"4","CCN2"
"4","DUSP1"
"4","KLF2"
"4","IGFBP7"
"4","THSD4"
"4","RNF144B"
"5","LHX6"
"5","TAC1"
"5","GAD1"
"5","GAD2"
"5","CRHBP"
"5","MAF"
"5","CNTNAP3B"
"5","CNTNAP3"
"5","VWC2"
"5","TENM1"
"6","HS3ST2"
"6","RXFP1"
"6","IPCEF1"
"6","TSHZ2"
"6","SMYD2"
"6","CENPF"
"6","SV2B"
"6","SNCA"
"6","NRN1"
"6","SLC17A7"
"7","TMIGD3"
"7","P2RY12"
"7","GPR34"
"7","ITGAX"
"7","RNASET2"
"7","PTPRC"
"7","CD74"
"7","C3"
"7","CX3CR1"
"7","ALOX5AP"
"8","DCN"
"8","IFITM3"
"8","IGFBP7"
"8","ABCC9"
"8","NR2F2"
"8","LAMA2"
"8","CAV1"
"8","COL1A2"
"8","PLCE1"
"8","SLC6A1"
"9","VIP"
"9","PROX1"
"9","SYNPR"
"9","NR2F2"
"9","GAD1"
"9","VWC2L"
"9","RGS16"
"9","RELN"
"9","PLD5"
"9","THSD7B"
"10","VCAN"
"10","PDGFRA"
"10","OLIG2"
"10","SEMA5A"
"10","BCAN"
"10","GPNMB"
"10","ITGA8"
"10","APOD"
"10","PTPRZ1"
"10","CSPG4"
"11","GAD2"
"11","KIT"
"11","MYO16"
"11","PTCHD4"
"11","RELN"
"11","ALK"
"11","EYA4"
"11","PDGFD"
"11","NXPH2"
"11","TACR1"
