"cluster","gene"
"1","SPP1"
"1","CRYAB"
"1","CA2"
"1","MOBP"
"1","ANLN"
"1","UGT8"
"1","ERMN"
"1","CLDND1"
"1","EDIL3"
"1","PCSK6"
"2","CRYAB"
"2","SPP1"
"2","QDPR"
"2","CA2"
"2","PROX1"
"2","CNDP1"
"2","ERMN"
"2","ANLN"
"2","MOBP"
"2","UGT8"
"3","NRGN"
"3","SNCA"
"3","BEX1"
"3","SLC17A7"
"3","NEGR1"
"3","MEF2C"
"3","CTSB"
"3","HECW1"
"3","SORL1"
"3","RORB"
"4","FLT1"
"4","NES"
"4","IFITM3"
"4","VIM"
"4","PECAM1"
"4","DCN"
"4","EEF1A1"
"4","DLC1"
"4","HSPA1B"
"4","CD63"
"5","AQP4"
"5","GJA1"
"5","GLUL"
"5","SLC1A2"
"5","SOX9"
"5","VIM"
"5","KCNJ10"
"5","CD44"
"5","COL5A3"
"5","APOE"
"6","CD74"
"6","C3"
"6","CSF1R"
"6","RNASET2"
"6","SPP1"
"6","FTL"
"6","RPS19"
"6","GFAP"
"6","CTSB"
"6","MOBP"
"7","LAMP5"
"7","GAD2"
"7","KIT"
"7","CUX2"
"7","PVALB"
"7","BEX1"
"7","MEF2C"
"7","CNTNAP2"
"7","CLU"
"7","ALDOC"
"8","VCAN"
"8","BCAN"
"8","SEMA5A"
"8","OLIG2"
"8","PDGFRA"
"8","SST"
"8","GPNMB"
"8","CSPG4"
"8","SOX2"
"8","DNER"
